,RK,Name,POS,SOLO,AST,TOT,SACK,YDS,PD,INT,YDS,LNG,TD,FF,Team
208,154,Kristopher Ross,DL,2,5,7,0.5,0,0,0,0,0,0,0,NEV
209,154,CJ Taylor,S,6,1,7,0.0,0,0,0,0,0,0,0,VAN
210,154,Desmond Purnell,LB,6,1,7,0.0,0,0,0,0,0,0,0,KSU
211,154,Mike Edwards,LB,2,5,7,0.0,0,0,0,0,0,0,0,IIIECU
212,154,Tacario Davis,DB,5,2,7,0.0,0,0,0,0,0,0,0,ARIZ
213,154,Jeremiah Earby,CB,7,0,7,0.0,0,0,0,0,0,0,1,BOIS
214,154,Ben Roberts,LB,4,3,7,0.0,0,0,0,0,0,0,1,TTU
215,154,Emmanuel McNeil-Warren,S,1,6,7,0.0,0,0,0,0,0,0,0,TOL
216,154,Derrieon Craig,LB,4,3,7,0.0,0,0,0,0,0,0,0,MASS
217,154,Donelius Johnson,LB,4,3,7,2.0,22,0,0,0,0,0,0,KENN
218,154,Savion Riley,S,5,2,7,0.0,0,0,0,0,0,0,0,COLO
219,154,Zach Mowchan,LB,2,5,7,0.0,0,0,0,0,0,0,0,EMU
220,154,AJ Odums,CB,6,1,7,0.0,0,1,0,0,0,0,0,UTEP
221,154,Carson Schwesinger,LB,7,0,7,0.0,0,0,0,0,0,0,1,UCLA
222,154,Skyler Thomas,DB,4,3,7,0.0,0,0,1,15,15,0,0,ORST
223,154,Jacob Manu,LB,4,3,7,0.0,0,0,0,0,0,0,0,ARIZ
224,154,Jaden Harris,DB,1,6,7,0.5,2,1,1,0,0,0,0,MIA
225,154,Keyshaun Elliott,LB,3,4,7,0.0,0,0,1,18,18,0,0,ASU
226,154,Red Murdock,LB,5,2,7,0.0,0,0,0,0,0,0,0,BUFF
227,154,Bryson Taylor,S,1,6,7,0.0,0,2,0,0,0,0,0,UNM
228,154,Stephen Daley,DL,4,3,7,1.0,4,1,0,0,0,0,0,KENT
229,154,Jay Green,S,4,3,7,0.0,0,0,0,0,0,0,1,STAN
230,154,Rasheem Biles,LB,4,3,7,1.0,7,0,0,0,0,0,0,PITT
231,154,Will Heldt,DE,6,1,7,2.0,7,0,0,0,0,0,0,PUR
232,154,Rodney Hill,LB,1,6,7,0.0,1,0,0,0,0,0,0,USF
233,154,Jackie Marshall,DL,4,3,7,0.0,0,0,0,0,0,0,0,BAY
234,154,Jacob Ellis,LB,4,3,7,0.0,0,0,0,0,0,0,0,ISU
235,154,KK Meier,DB,4,3,7,0.0,0,1,0,0,0,0,0,NEV
236,154,Eric Butler,S,7,0,7,0.0,0,1,0,0,0,0,0,SDSU
237,154,Buom Jock,LB,3,4,7,0.0,0,0,0,0,0,0,0,CSU
